url,Données de base,Équipement,Certificats et attestations de conformité,Urbanisme et risques environnementaux,Aménagement intérieur,Cuisine et sanitaires,Description extérieure,Chauffage et énergie
https://immovlan.be/fr/detail/appartement/a-vendre/8620/nieuwpoort/rbt66200,Excellent,Oui,145 kWh/m²/an,,1,,4,Double vitrage
https://immovlan.be/fr/detail/surface-commerciale/a-vendre/8720/dentergem/rbt66168,Normal,Non,268 kWh/m²/an,Non,3,1,,Mazout
https://immovlan.be/fr/detail/appartement/a-vendre/4020/liege/vbc87152,Remis à neuf,Oui,181 kWh/m²/an,Non,3,1,3,
https://immovlan.be/fr/detail/maison/a-vendre/4470/saint-georges-sur-meuse/vbc87151,À rénover,Non,,Non,2,1,,
https://immovlan.be/fr/detail/terrain-a-batir/a-vendre/6150/anderlues/vbc36648,Non,,,,,,394 m²,
https://immovlan.be/fr/detail/maison/a-vendre/6250/pont-de-loup/vbc77889,À rénover,,425 kWh/m²/an,,2,1,,
https://immovlan.be/fr/detail/maison/a-vendre/8680/koekelare/rbs94238,Non,Non,,Non,2,1,,
https://immovlan.be/fr/detail/immeuble-de-rapport/a-vendre/7500/tournai/vbc54026,Non,Non,,Pas de risque d’inondation,,,Non,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/7800/ath/vbc73015,À rénover,Oui,303 kWh/m²/an,Information non communiquée,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8940/wervik/rwc38486,Normal,Non,,,2,Super équipée,1,Oui
https://immovlan.be/fr/detail/appartement/a-vendre/4470/saint-georges-sur-meuse/vbc75234,Excellent,,,Pas de risque d’inondation,3,,,
https://immovlan.be/fr/detail/bureaux/a-vendre/6000/charleroi/vbc70319,Normal,Oui,,,,,Oui,
https://immovlan.be/fr/detail/maison/a-vendre/7861/wannebecq/vbc59815,Normal,,,Information non communiquée,,,3,Mazout
https://immovlan.be/fr/detail/maison/a-vendre/6060/gilly/vwd12849,À rénover,,,Information non communiquée,,,,Non specifié
https://immovlan.be/fr/detail/terrain-a-batir/a-vendre/5651/tarcienne/vwd12715,A l’acte,,,Information non communiquée,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6560/hantes-wiheries/vbc76521,Non,,,Information non communiquée,3,,,
https://immovlan.be/fr/detail/maison/a-vendre/6560/erquelinnes/vbc66240,Non,,,,2,1,2,Non specifié
https://immovlan.be/fr/detail/villa/a-vendre/1420/braine-l-alleud/vbc44602,Normal,,388 kWh/m²/an,Information non communiquée,,,,Gaz
https://immovlan.be/fr/detail/villa/a-vendre/1410/waterloo/vbc44601,Normal,Non,,,,Super équipée,4,
https://immovlan.be/fr/detail/appartement/a-vendre/7110/houdeng-aimeries/vbc49149,Non,,20250313034632,Information non communiquée,Non,1,2,
https://immovlan.be/fr/detail/maison/a-vendre/6010/couillet/vbc75085,Normal,,,Information non communiquée,5,,3,
https://immovlan.be/fr/detail/maison/a-vendre/8680/koekelare/rbt26655,Non,Non,,Non,3,Equipée,,Mazout
https://immovlan.be/fr/detail/appartement/a-vendre/1140/evere/vbc51183,Non,,,,2,1,3,Mazout
https://immovlan.be/fr/detail/duplex/a-vendre/8660/la-panne/rbt41665,Non,Non,,,,Equipée,,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/5650/walcourt/vbc45914,À rénover,,785 kWh/m²/an,Information non communiquée,2,Equipée,,Bois
https://immovlan.be/fr/detail/terrain/a-vendre/1560/hoeilaart/vbc73054,,,,,,,585 m²,
https://immovlan.be/fr/detail/maison/a-vendre/8432/leffinge/rbt03440,Non,,,Non,3,Non équipée,Sud,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/6560/erquelinnes/vbc74798,Non,,471 kWh/m²/an,,3,,4,Non specifié
https://immovlan.be/fr/detail/appartement/a-vendre/6200/chatelet/vbc61899,Normal,Oui,188 kWh/m²/an,,2,1,4,
https://immovlan.be/fr/detail/maison/a-vendre/8500/courtrai/rbt02313,Non,Non,807 kWh/m²/an,,2,1,,
https://immovlan.be/fr/detail/garage/a-vendre/8800/roeselare/rbs87277,Normal,,,,,,2,
https://immovlan.be/fr/detail/appartement/a-vendre/8800/roeselare/rbt45961,Remis à neuf,,291 kWh/m²/an,,2,1,4,
https://immovlan.be/fr/detail/terrain/a-vendre/5300/andenne/vbb26221,A l’acte,,,,,,2470 m²,
https://immovlan.be/fr/detail/maison/a-vendre/1400/nivelles/vbc82916,Normal,Non,,Oui,,,,
https://immovlan.be/fr/detail/bureaux/a-vendre/9880/aalter/rbt32087,Non,Non,,,Non,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1325/chaumont-gistoux/vbc44488,Nouveau,,,,2,,3,Gaz
https://immovlan.be/fr/detail/appartement/a-vendre/1325/chaumont-gistoux/vbc44078,Nouveau,,80 kWh/m²/an,Information non communiquée,2,Super équipée,0,Gaz
https://immovlan.be/fr/detail/appartement/a-vendre/5100/jambes/vbc55980,Normal,Non,213 kWh/m²/an,,,Semi-équipée,2,
https://immovlan.be/fr/detail/appartement/a-vendre/8660/la-panne/rbt02925,Non,,111 kWh/m²/an,Non,3,Equipée,2,Gaz
https://immovlan.be/fr/detail/garage/a-vendre/8530/harelbeke/rbp06782,Excellent,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,3,
https://immovlan.be/fr/detail/maison/a-vendre/6700/arlon/vbc56198,Normal,,238 kWh/m²/an,Pas de risque d’inondation,4,Super équipée,,
https://immovlan.be/fr/detail/maison/a-vendre/8900/ieper/rbj91719,Nouveau,,,,,,3,
https://immovlan.be/fr/detail/maison/a-vendre/1490/court-saint-etienne/vbc69029,Non,,211 kWh/m²/an,Information non communiquée,3,Non équipée,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/2530/boechout/rbt63373,Normal,Oui,257 kWh/m²/an,,,1,2,
https://immovlan.be/fr/detail/maison/a-vendre/5190/moustier-sur-sambre/vbc78966,Normal,Non,,Pas de risque d’inondation,5,Equipée,,Oui
https://immovlan.be/fr/detail/appartement/a-vendre/1060/saint-gilles/vbc70285,À rénover,Non,,,4,Non équipée,2,
https://immovlan.be/fr/detail/terrain/a-vendre/7110/maurage/vbc55865,A l’acte,,,Information non communiquée,,,319 m²,
https://immovlan.be/fr/detail/studio/a-vendre/4102/ougree/vbc60776,À rénover,Non,920 kWh/m²/an,Non,1,1,,
https://immovlan.be/fr/detail/studio/a-vendre/4102/ougree/vbc60777,À rénover,Non,770 kWh/m²/an,Non,1,1,,
https://immovlan.be/fr/detail/maison/a-vendre/5570/winenne/vbc91989,À rénover,Non,,Non,4,,Oui,Non
https://immovlan.be/fr/detail/maison/a-vendre/5570/winenne/vbc91988,Normal,Non,457 kWh/m²/an,,2,,1,Non
https://immovlan.be/fr/detail/maison/a-vendre/5001/belgrade/vbc91984,À rénover,,296 kWh/m²/an,,4,,Est,
https://immovlan.be/fr/detail/appartement/a-vendre/9000/gand/rbt73264,Normal,Oui,20211223-0002514805-RES-1,Non,,1,3,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/5550/bohan/vbc91983,Normal,Non,407 kWh/m²/an,,,1,,
https://immovlan.be/fr/detail/bien-divers/a-vendre/4000/liege/vbc91982,Normal,Oui,,Non,,4,Est,
https://immovlan.be/fr/detail/appartement/a-vendre/1030/schaerbeek/vbc91981,Normal,,,Non,1,,3,
